Step,beta0.1,beta0.5,beta5,iid,aug_beta0.1,aug_beta0.5,aug_beta5,aug_iid
22,0.4528000056743620,0.522599995136261,0.5751000046730040,0.5746999979019170,0.6115999817848210,0.6879000067710880,0.7064999938011170,0.6995000243186950
23,0.4535999894142150,0.5217999815940860,0.5738999843597410,0.5723000168800350,0.6043999791145330,0.6890000104904180,0.7041000127792360,0.695900022983551
24,0.459199994802475,0.5210000276565550,0.572700023651123,0.5738999843597410,0.6129999756813050,0.6916999816894530,0.7128000259399410,0.6995000243186950
25,0.453000009059906,0.5224999785423280,0.567799985408783,0.5709999799728390,0.6086999773979190,0.689300000667572,0.7121000289916990,0.701200008392334
26,0.4578999876976010,0.5189999938011170,0.5680000185966490,0.5723999738693240,0.6129000186920170,0.6916999816894530,0.7091000080108640,0.7037000060081480
27,0.4553999900817870,0.5187000036239620,0.5724999904632570,0.566100001335144,0.6132000088691710,0.6909000277519230,0.710099995136261,0.7052000164985660
28,0.4593999981880190,0.5254999995231630,0.5676000118255620,0.5691999793052670,0.6229000091552730,0.6948000192642210,0.7146999835968020,0.7059000134468080
29,0.4560999870300290,0.5235999822616580,0.571399986743927,0.5679000020027160,0.6157000064849850,0.7013000249862670,0.7128999829292300,0.7024000287055970
30,0.4523000121116640,0.5246000289916990,0.5694000124931340,0.5684999823570250,0.6180999875068670,0.7017999887466430,0.7134000062942510,0.7053999900817870
31,0.4544999897480010,0.51910001039505,0.5702999830245970,0.5677000284194950,0.6172000169754030,0.703499972820282,0.7156000137329100,0.7084000110626220
32,0.4514999985694890,0.51910001039505,0.5656999945640560,0.5674999952316280,0.6238999962806700,0.6995000243186950,0.7121999859809880,0.7077999711036680
33,0.45350000262260400,0.5174000263214110,0.5647000074386600,0.5673999786376950,0.623199999332428,0.6942999958992000,0.7145000100135800,0.7077000141143800
34,0.45660001039505000,0.519599974155426,0.5293999910354610,0.5655999779701230,0.6190000176429750,0.7003999948501590,0.7131999731063840,0.7099000215530400
35,0.45730000734329200,0.517799973487854,0.5665000081062320,0.5637999773025510,0.6234999895095830,0.6980000138282780,0.7156999707221990,0.7091000080108640
36,0.4499000012874600,0.5182999968528750,0.5648999810218810,0.5640000104904180,0.6100999712944030,0.6970999836921690,0.7186999917030330,0.711899995803833
37,0.45170000195503200,0.5170000195503240,0.5579000115394590,0.5630000233650210,0.621399998664856,0.6956999897956850,0.7182999849319460,0.713699996471405
38,0.4562999904155730,0.5217000246047970,0.5654000043869020,0.5669999718666080,0.6241000294685360,0.7017999887466430,0.7148000001907350,0.710099995136261
39,0.4499000012874600,0.5166000127792360,0.5641000270843510,0.5656999945640560,0.6134999990463260,0.7010999917984010,0.717199981212616,0.7131999731063840
40,0.45739999413490300,0.5163999795913700,0.5497000217437740,0.5630000233650210,0.625,0.7038000226020810,0.7156000137329100,0.7129999995231630
41,0.4544000029563900,0.516700029373169,0.5611000061035160,0.5620999932289120,0.6247000098228460,0.7067000269889830,0.7193999886512760,0.7138000130653380
42,0.4496999979019170,0.5188000202178960,0.5630000233650210,0.5622000098228460,0.6245999932289120,0.7008000016212460,0.7174000144004820,0.713699996471405
43,0.4537999927997590,0.5181000232696530,0.5605000257492070,0.5645999908447270,0.6284999847412110,0.71670001745224,0.7182000279426580,0.713699996471405
44,0.45339998602867100,0.5128999948501590,0.564300000667572,0.5651000142097470,0.6309000253677370,0.7057999968528750,0.7159000039100650,0.7163000106811520
45,0.45320001244545000,0.513700008392334,0.5626999735832210,0.5618000030517580,0.6270999908447270,0.7044000029563900,0.7208999991416930,0.7116000056266790
46,0.45579999685287500,0.5152000188827520,0.5579000115394590,0.5612999796867370,0.6186000108718870,0.7032999992370610,0.7170000076293950,0.7135000228881840
47,0.448199987411499,0.5131000280380250,0.5623000264167790,0.5622000098228460,0.6140000224113460,0.7056999802589420,0.7211999893188480,0.7135000228881840
48,0.45329999923706100,0.5131999850273130,0.5579000115394590,0.5613999962806700,0.6150000095367430,0.7031000256538390,0.720300018787384,0.7168999910354610
49,0.4569999873638150,0.5139999985694890,0.5590999722480770,0.5598000288009640,0.6280999779701230,0.7017999887466430,0.720300018787384,0.715399980545044
50,0.45159998536109900,0.5138999819755550,0.5597000122070310,0.5570999979972840,0.6254000067710880,0.7005000114440920,0.7222999930381780,0.7146000266075130
51,0.4505000114440920,0.5116000175476070,0.5580000281333920,0.5590000152587890,0.614300012588501,0.708299994468689,0.7217000126838680,0.7149999737739560
52,0.45410001277923600,0.5113000273704530,0.5618000030517580,0.5584999918937680,0.628000020980835,0.6966000199317930,0.722100019454956,0.7164000272750850
53,0.45410001277923600,0.5105999708175660,0.5575000047683720,0.557699978351593,0.6294000148773190,0.7071999907493590,0.7231000065803530,0.7179999947547910
54,0.4578000009059910,0.5123999714851380,0.5583999752998350,0.5594000220298770,0.631600022315979,0.7039999961853030,0.7218999862670900,0.7192999720573430
